iso3_i,country_i,iso3_j,country_j,col,cor,cnl,cal,csl,lpn,lpa,lps,bpn,bpa,bps
DNK,Denmark,LBR,Liberia,0.0,0.0,0.0,0.4983672427168133,0.5007214928817946,0.0,0.1885450661469498,0.3959159630580829,0.0,0.3223954145223416,0.7516919129507599
DNK,Denmark,LBY,Libya,0.0,0.0,1.7268591086688528e-05,,,0.004667918567547,,,0.0167076149913473,,
DNK,Denmark,LCA,Saint Lucia,0.0,0.0,4.050707492888247e-05,0.2158551661644929,0.2254832244157709,0.0035631878685375,0.0853327934189341,0.1835988029541729,0.0073712918694447,0.1541710834283539,0.3606637875752752
DNK,Denmark,LIE,Liechtenstein,1.0,0.0,0.0,,,0.2811827775660379,,,0.6343022192208632,,
DNK,Denmark,LKA,Sri Lanka,0.0,0.0,0.0002943655859767,0.0910018311931878,0.0921635915340133,0.118650573381157,0.0630095890347896,0.4506896174558319,0.4617497789609918,0.1649949867943155,1.5658804898129617
DNK,Denmark,LSO,Lesotho,0.0,0.0,0.0,0.1931670532377879,0.1940795601763958,0.0,0.0730800335744085,0.1534569557517803,0.0,0.1249604044221722,0.2913556496526842
DNK,Denmark,LTU,Lithuania,0.0,0.0,0.0001106833396401,0.3179827952378699,0.3215998560637121,0.1804093358526801,0.4241654180662081,1.2286054034413705,0.6664697580822936,1.168086413101591,3.803979602620153
DNK,Denmark,LUX,Luxembourg,1.0,0.0,0.0030509047717782,1.0129766086208494,1.0588465541947651,0.222364536355391,0.9990275822661095,2.4834922613500274,0.5698586890967439,2.0822029166805898,5.315440874984117
DNK,Denmark,LVA,Latvia,0.0,0.0,1.8803456379719505e-06,0.3400071942266929,0.343278918237549,0.1810074460174661,0.3986287580390554,1.2063420219150094,0.6663560593679154,1.129385505071549,3.763330151150422
DNK,Denmark,MAC,Macao,0.0,0.0,9.600471127991578e-05,0.0,0.020419079956249,0.0093378182976262,0.0038795715589542,0.0246737520194675,0.021040669241609,0.0122180863474404,0.0596746695472063
DNK,Denmark,MAF,Saint-Martin,0.0,0.0,0.0007088738112554,,,0.0745797181745369,,,0.1772590914052667,,
DNK,Denmark,MAR,Morocco,0.0,0.0,0.0,0.1225339754198396,0.1231686811067789,0.0009011607299797,0.1078176666114327,0.1879067118035934,0.0031383446647571,0.3188550248771173,0.5564816449634987
DNK,Denmark,MCO,Monaco,0.0,0.0,0.0003855561518175,0.0298759123389802,0.136323127607444,0.1550317724655361,0.0852069938774911,0.5774419660095845,0.5481670628534164,0.3120551711349221,1.948512705541677
DNK,Denmark,MDA,Moldova,0.0,0.0,0.0,0.0024349246752861,0.003648037462467,0.1726174061489895,0.1892089284072722,0.8175354937704031,0.6400415001800588,0.6385046487732915,2.7640588291753385
DNK,Denmark,MDG,Madagascar,0.0,0.0,0.0,0.0196872948763971,0.0201878193224072,0.0007639092467663,0.056148752713029,0.0882536858286533,0.0030005605242562,0.2056346297355445,0.3319689385020338
DNK,Denmark,MDV,Maldives,0.0,0.0,0.0,,,0.1539520743963633,,,0.5997669856818011,,
DNK,Denmark,MEX,Mexico,0.0,0.0,1.1830851846349503e-05,0.0461764951949055,0.0861806803508004,0.117830671183799,0.0331447288629888,0.420347389094491,0.4690486680578329,0.0855152440501948,1.45911029991196
DNK,Denmark,MHL,Marshall Islands,0.0,0.0,0.0014268108493214,0.7811358098054109,0.859384292461081,0.1255088183465697,0.2955236426187039,0.8605025218528324,0.2596444999127697,0.5053193340469213,1.6337628363209362
DNK,Denmark,MKD,Macedonia,0.0,0.0,0.0002147506610863,0.0086530771366661,0.0088678277977524,0.1694865508930985,0.0246788343144047,0.5239062855875602,0.6287135844868138,0.0903817575874642,1.8530563083410336
DNK,Denmark,MLI,Mali,0.0,0.0,0.0,0.0174853909919452,0.0175746021704755,0.0001807895537309,0.0498688571010538,0.0768726919944015,0.0006783902486403,0.1826356503005706,0.2891439080506954
DNK,Denmark,MLT,Malta,0.0,0.0,0.0002262385468516,0.677452044707933,0.7246876782392679,0.028072694275399,0.4412667415485123,0.8772363591583013,0.0788241506213589,1.028186295033896,2.1289619283105488
DNK,Denmark,MMR,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0017526878232465,0.0,0.0046991135151804,0.0064764402600628,0.0,0.0174162894823639
DNK,Denmark,MNE,Montenegro,0.0,0.0,0.0012235607358922,0.1935288913943027,0.1964426488000995,0.1695612751587105,0.1660309889767424,0.7780358401367573,0.6378542052913687,0.4399648712565735,2.527454034479625
DNK,Denmark,MNG,Mongolia,0.0,0.0,0.0,0.0,0.0008009794182149,0.0003469043974903,0.141661429982849,0.2184455531319996,0.0012285184363279,0.4764978664898968,0.7575644483253303
DNK,Denmark,MNP,Northern Marianas,0.0,0.0,0.0006533134314543,1.318097232406357,0.859384292461081,0.0574684421770213,0.4986698734799965,1.1569990866037745,0.1188869844078685,0.8526814509433291,2.1966956067489565
DNK,Denmark,MOZ,Mozambique,0.0,0.0,3.808503393897436e-07,0.0,3.9642255983042845e-05,0.0151695008352347,0.0898007303287482,0.1789183368711211,0.0606075297641422,0.2828129499731726,0.6087136576411349
DNK,Denmark,MRT,Mauritania,0.0,0.0,0.0,0.0148922367825935,0.0150093890452833,0.0007192062250284,0.0424731038824541,0.0664498259508089,0.002529070582024,0.155550044632801,0.2496397888336908
DNK,Denmark,MSR,Montserrat,0.0,0.0,0.0001030760388815,,,0.0090670405583321,,,0.0187573052034977,,
